bkcdstj	Children's Book CD Set
bkclub	Book club bag
bktsetj	Children's Book Tape Set
braille	Children's braille books
closovr	Closed Stacks - Oversize
clostac	Closed Stacks
dvda	Adult 7 Day DVD
dvdanf	Adult 7 Day Nonfiction DVD
dvdhda	Adult 7 Day High Demand DVD
dvdhdj	Children's 7 Day High Demand DVD
dvdj	Children's 7 Day DVD
e-book	E-book
fa-bsu	Fast Add - Branch Use
fa-mag	Fast Add - Magazine
fa-nirf	Fast Add - No Item Record Found
fa-pbk	Fast Add - Gift Paperback
fa-vhs	Fast Add - VHS
fica	Adult Fiction
ficbeg	Children's Beginner
ficbrdb	Children's Board Book
fice	Children's Easy Fiction
fichd	High Demand Fiction
ficj	Children's Fiction
ficjhd	High Demand Children's Fiction
ficlp	Fiction Large Print
ficya	Young Adult Fiction
forn	Foreign Language
fornj	Children's Foreign Language
gen	Genealogy
genatla	Genealogy Atlas
gencdir	Genealogy City Directory
gencen	Genealogy Census
gencs	Genealogy closed stacks
genind	Genealogy Index
genres	Genealogy Resource
govdoc	Reference - Government Document
govdocc	Reference - Government Document - Closed Stack
graph	Graphic literature
graphj	Children's graphic literature
graphya	Young adult graphic literature
hangbgj	Children's Hanging Bag
ill	Interlibrary Loan
kit	Kit
kitjuv	Family science kit
locala	Adult local authors
localj	Youth local authors
lot	Library of things (ask at any service desk)
lotc	Cookware (ask at any service desk)
lotg	Library of things Games
loth	Library of Things Household
lotlt	Library of things Laptops
lotm	Library of things Musical instrument
loto	Library of things Outdoor equipment
lots	Library of things Science
lott	Library of things Tools
lottec	Library of things Technology
lphd	High Demand Large Print
maga	Adult Magazine
magcs	Compact Storage Magazine
maggen	Genealogy Magazine
magj	Children's Magazine
magnw	Adult Magazine - Northwest Room
magprof	Professional Magazine
magya	Young Adult Magazine
muscda	Adult Music CD
muscdj	Children's Music CD
newafic	New Adult Fiction
newanf	New Adult Non-Fiction
newefic	Children's New E Fiction
newenf	Children's New E Nonfiction
newjfic	Children's New J Fiction
newjnf	Children's New J Nonfiction
newlp	New Large Print - Fiction and Nonfiction
newspcd	New Spoken CD
newya	New Young Adult Fiction
nf	Non-fiction
nfe	Children's E Nonfiction
nfhd	High Demand Non-fiction
nfj	Children's J Nonfiction
nflp	Non-fiction Large Print
nfperm	Non-fiction (Permanant)
nw	Northwest Room
nwav	Northwest Room Audio Visual
nwcs	Northwest Room Closed Stack
nwcsovr	Northwest Room Closed Stack Oversize
nwcsp	Northwest Room Closed Stack Pamphlet
nwdir	Northwest Room Directories
nwmap	Northwest Room Map
nwmisc	Northwest Room Misc
nwovrsz	Northwest Room Oversize
nwphoto	Northwest Room Photograph
nwvf	Northwest Room Vertical file
omc	One more circ
pbka	Adult Paperback
profcir	Professional Circulating
profref	Professional Reference
profsrv	Professional Services
refa	Adult Reference
refatla	Atlas Stand
refauto	Auto Repair
refcons	Consumer
refdsk	Reference Desk
refdsk2	Reference Desk 2nd Floor
refdsk3	Reference Desk 3rd Floor
refelec	Electronic Reference
refind3	Indexes 2nd Floor
refj	Children's Reference
sbp	Student bus pass
spcasa	Adult Spoken Cassette
spcda	Adult Spoken CD
spcdj	Children's Spoken CD
spcdya	Young Adult Spoken CD
star	Lucky Day Paperback
tech	Electronic equipment
techflt	Electronic equipment (FLT)
telref	Telephone Reference
temp	Temporary Collection for Inventory
topa	Lucky Day Paperback
topj	Top titles for youth
unk	Unknown collection for item creation
vertfil	Vertical file
vhsa	Adult Videorecording (VHS)
yahd	High Demand Young Adult Fiction
bra	Adult Blu-Ray disc
jbkwaud	Children's Book CD Set
tweenf	Tween Fiction
tweennf	Tween Nonfiction
